Clade,Date,Location,Freq
GH,2021-04-26/2021-05-02,Europe,905
GH,2021-04-26/2021-05-02,North America,7342
GH,2021-04-26/2021-05-02,Oceania,57
GH,2021-04-26/2021-05-02,South America,155
GH,2021-05-03/2021-05-09,Africa,359
GH,2021-05-03/2021-05-09,Asia,568
GH,2021-05-03/2021-05-09,Europe,745
GH,2021-05-03/2021-05-09,North America,5536
GH,2021-05-03/2021-05-09,Oceania,139
GH,2021-05-03/2021-05-09,South America,174
GH,2021-05-10/2021-05-16,Africa,329
GH,2021-05-10/2021-05-16,Asia,394
GH,2021-05-10/2021-05-16,Europe,651
GH,2021-05-10/2021-05-16,North America,4033
GH,2021-05-10/2021-05-16,Oceania,55
GH,2021-05-10/2021-05-16,South America,176
GH,2021-05-17/2021-05-23,Africa,389
GH,2021-05-17/2021-05-23,Asia,421
GH,2021-05-17/2021-05-23,Europe,418
GH,2021-05-17/2021-05-23,North America,3065
GH,2021-05-17/2021-05-23,Oceania,21
GH,2021-05-17/2021-05-23,South America,125
GH,2021-05-24/2021-05-30,Africa,429
GH,2021-05-24/2021-05-30,Asia,459
GH,2021-05-24/2021-05-30,Europe,432
GH,2021-05-24/2021-05-30,North America,1904
GH,2021-05-24/2021-05-30,Oceania,7
GH,2021-05-24/2021-05-30,South America,117
GH,2021-05-31/2021-06-06,Africa,522
GH,2021-05-31/2021-06-06,Asia,397
GH,2021-05-31/2021-06-06,Europe,533
GH,2021-05-31/2021-06-06,North America,1491
GH,2021-05-31/2021-06-06,Oceania,4
GH,2021-05-31/2021-06-06,South America,202
GH,2021-06-07/2021-06-13,Africa,387
GH,2021-06-07/2021-06-13,Asia,279
GH,2021-06-07/2021-06-13,Europe,362
GH,2021-06-07/2021-06-13,North America,1426
GH,2021-06-07/2021-06-13,Oceania,19
GH,2021-06-07/2021-06-13,South America,210
GH,2021-06-14/2021-06-20,Africa,305
GH,2021-06-14/2021-06-20,Asia,333
GH,2021-06-14/2021-06-20,Europe,310
GH,2021-06-14/2021-06-20,North America,1234
GH,2021-06-14/2021-06-20,Oceania,3
GH,2021-06-14/2021-06-20,South America,152
GH,2021-06-21/2021-06-27,Africa,318
GH,2021-06-21/2021-06-27,Asia,367
GH,2021-06-21/2021-06-27,Europe,390
GH,2021-06-21/2021-06-27,North America,1061
GH,2021-06-21/2021-06-27,Oceania,7
GH,2021-06-21/2021-06-27,South America,146
GH,2021-06-28/2021-07-04,Africa,315
GH,2021-06-28/2021-07-04,Asia,252
GH,2021-06-28/2021-07-04,Europe,658
GH,2021-06-28/2021-07-04,North America,1041
GH,2021-06-28/2021-07-04,Oceania,5
GH,2021-06-28/2021-07-04,South America,523
GH,2021-07-05/2021-07-11,Africa,276
GH,2021-07-05/2021-07-11,Asia,236
GH,2021-07-05/2021-07-11,Europe,471
GH,2021-07-05/2021-07-11,North America,1083
GH,2021-07-05/2021-07-11,Oceania,4
GH,2021-07-05/2021-07-11,South America,357
GH,2021-07-12/2021-07-18,Africa,349
GH,2021-07-12/2021-07-18,Asia,204
GH,2021-07-12/2021-07-18,Europe,295
GH,2021-07-12/2021-07-18,North America,1111
GH,2021-07-12/2021-07-18,Oceania,6
GH,2021-07-12/2021-07-18,South America,582
GH,2021-07-19/2021-07-25,Africa,155
GH,2021-07-19/2021-07-25,Asia,148
GH,2021-07-19/2021-07-25,Europe,282
GH,2021-07-19/2021-07-25,North America,1020
GH,2021-07-19/2021-07-25,Oceania,5
GH,2021-07-19/2021-07-25,South America,548
GH,2021-07-26/2021-08-01,Africa,115
GH,2021-07-26/2021-08-01,Asia,111
GH,2021-07-26/2021-08-01,Europe,211
GH,2021-07-26/2021-08-01,North America,873
GH,2021-07-26/2021-08-01,Oceania,6
GH,2021-07-26/2021-08-01,South America,492
GH,2021-08-02/2021-08-08,Africa,157
GH,2021-08-02/2021-08-08,Asia,97
GH,2021-08-02/2021-08-08,Europe,167
GH,2021-08-02/2021-08-08,North America,523
GH,2021-08-02/2021-08-08,Oceania,3
GH,2021-08-02/2021-08-08,South America,720
GH,2021-08-09/2021-08-15,Africa,108
GH,2021-08-09/2021-08-15,Asia,43
GH,2021-08-09/2021-08-15,Europe,94
GH,2021-08-09/2021-08-15,North America,342
GH,2021-08-09/2021-08-15,Oceania,8
GH,2021-08-09/2021-08-15,South America,398
GH,2021-08-16/2021-08-22,Africa,61
GH,2021-08-16/2021-08-22,Asia,36
GH,2021-08-16/2021-08-22,Europe,120
GH,2021-08-16/2021-08-22,North America,357
GH,2021-08-16/2021-08-22,Oceania,6
GH,2021-08-16/2021-08-22,South America,444
GH,2021-08-23/2021-08-29,Africa,59
GH,2021-08-23/2021-08-29,Asia,10
GH,2021-08-23/2021-08-29,Europe,127
GH,2021-08-23/2021-08-29,North America,252
GH,2021-08-23/2021-08-29,South America,442
GH,2021-08-30/2021-09-05,Africa,28
GH,2021-08-30/2021-09-05,Asia,29
GH,2021-08-30/2021-09-05,Europe,159
GH,2021-08-30/2021-09-05,North America,263
GH,2021-08-30/2021-09-05,Oceania,3
GH,2021-08-30/2021-09-05,South America,469
GH,2021-09-06/2021-09-12,Africa,15
GH,2021-09-06/2021-09-12,Asia,29
GH,2021-09-06/2021-09-12,Europe,174
GH,2021-09-06/2021-09-12,North America,205
GH,2021-09-06/2021-09-12,Oceania,1
GH,2021-09-06/2021-09-12,South America,219
GH,2021-09-13/2021-09-19,Africa,13
GH,2021-09-13/2021-09-19,Asia,8
GH,2021-09-13/2021-09-19,Europe,174
GH,2021-09-13/2021-09-19,North America,264
GH,2021-09-13/2021-09-19,Oceania,1
GH,2021-09-13/2021-09-19,South America,244
GH,2021-09-20/2021-09-26,Africa,14
GH,2021-09-20/2021-09-26,Asia,10
GH,2021-09-20/2021-09-26,Europe,136
GH,2021-09-20/2021-09-26,North America,111
GH,2021-09-20/2021-09-26,Oceania,1
GH,2021-09-20/2021-09-26,South America,273
GH,2021-09-27/2021-10-03,Africa,8
GH,2021-09-27/2021-10-03,Asia,35
GH,2021-09-27/2021-10-03,Europe,221
GH,2021-09-27/2021-10-03,North America,99
GH,2021-09-27/2021-10-03,South America,201
GH,2021-10-04/2021-10-10,Africa,56
GH,2021-10-04/2021-10-10,Asia,21
GH,2021-10-04/2021-10-10,Europe,138
GH,2021-10-04/2021-10-10,North America,100
GH,2021-10-04/2021-10-10,Oceania,1
GH,2021-10-04/2021-10-10,South America,108
GH,2021-10-11/2021-10-17,Africa,10
GH,2021-10-11/2021-10-17,Asia,16
GH,2021-10-11/2021-10-17,Europe,141
GH,2021-10-11/2021-10-17,North America,96
GH,2021-10-11/2021-10-17,South America,71
GH,2021-10-18/2021-10-24,Africa,15
GH,2021-10-18/2021-10-24,Asia,7
GH,2021-10-18/2021-10-24,Europe,174
GH,2021-10-18/2021-10-24,North America,82
GH,2021-10-18/2021-10-24,South America,61
GH,2021-10-25/2021-10-31,Africa,14
GH,2021-10-25/2021-10-31,Asia,11
GH,2021-10-25/2021-10-31,Europe,179
GH,2021-10-25/2021-10-31,North America,80
GH,2021-10-25/2021-10-31,Oceania,2
GH,2021-10-25/2021-10-31,South America,52
GH,2021-11-01/2021-11-07,Africa,24
GH,2021-11-01/2021-11-07,Asia,55
GH,2021-11-01/2021-11-07,Europe,212
GH,2021-11-01/2021-11-07,North America,110
GH,2021-11-01/2021-11-07,Oceania,3
GH,2021-11-01/2021-11-07,South America,48
GH,2021-11-08/2021-11-14,Africa,16
GH,2021-11-08/2021-11-14,Asia,12
GH,2021-11-08/2021-11-14,Europe,212
GH,2021-11-08/2021-11-14,North America,123
GH,2021-11-08/2021-11-14,Oceania,3
GH,2021-11-08/2021-11-14,South America,45
GH,2021-11-15/2021-11-21,Africa,10
GH,2021-11-15/2021-11-21,Asia,4
GH,2021-11-15/2021-11-21,Europe,215
GH,2021-11-15/2021-11-21,North America,136
GH,2021-11-15/2021-11-21,Oceania,3
GH,2021-11-15/2021-11-21,South America,27
GH,2021-11-22/2021-11-28,Africa,24
GH,2021-11-22/2021-11-28,Asia,11
GH,2021-11-22/2021-11-28,Europe,274
GH,2021-11-22/2021-11-28,North America,123
GH,2021-11-22/2021-11-28,Oceania,1
GH,2021-11-22/2021-11-28,South America,17
GH,2021-11-29/2021-12-05,Africa,29
GH,2021-11-29/2021-12-05,Asia,45
GH,2021-11-29/2021-12-05,Europe,394
GH,2021-11-29/2021-12-05,North America,152
GH,2021-11-29/2021-12-05,Oceania,2
GH,2021-11-29/2021-12-05,South America,11
GH,2021-12-06/2021-12-12,Africa,7
GH,2021-12-06/2021-12-12,Asia,18
GH,2021-12-06/2021-12-12,Europe,389
GH,2021-12-06/2021-12-12,North America,184
GH,2021-12-06/2021-12-12,Oceania,2
GH,2021-12-06/2021-12-12,South America,7
GH,2021-12-13/2021-12-19,Africa,6
GH,2021-12-13/2021-12-19,Asia,13
GH,2021-12-13/2021-12-19,Europe,336
GH,2021-12-13/2021-12-19,North America,117
GH,2021-12-13/2021-12-19,Oceania,7
GH,2021-12-13/2021-12-19,South America,13
GH,2021-12-20/2021-12-26,Africa,3
GH,2021-12-20/2021-12-26,Asia,29
GH,2021-12-20/2021-12-26,Europe,142
GH,2021-12-20/2021-12-26,North America,71
GH,2021-12-20/2021-12-26,Oceania,7
GH,2021-12-27/2022-01-02,Africa,11
GH,2021-12-27/2022-01-02,Asia,13
GH,2021-12-27/2022-01-02,Europe,111
GH,2021-12-27/2022-01-02,North America,42
GH,2021-12-27/2022-01-02,Oceania,2
GH,2022-01-03/2022-01-09,Africa,15
GH,2022-01-03/2022-01-09,Asia,4
GH,2022-01-03/2022-01-09,Europe,52
GH,2022-01-03/2022-01-09,North America,14
GH,2022-01-10/2022-01-16,Asia,6
GH,2022-01-10/2022-01-16,Europe,20
GH,2022-01-10/2022-01-16,North America,8
GH,2022-01-10/2022-01-16,South America,1
